bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-420,variance,-0.11664550106101676,0.39192295287399825,56,38,18
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-420,edge_density,-0.3585628228646157,0.00665573886542917,56,38,18
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-420,chroma_complexity,0.35641014378313307,0.007014825873015071,56,38,18
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-420,uniform_block_fraction,0.17706099744831802,0.19173599186722418,56,38,18
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-444,variance,0.17564391259920561,0.24297037080977166,46,38,8
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-444,edge_density,0.1462451180005083,0.3321397834220804,46,38,8
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-444,chroma_complexity,-0.21225591521042877,0.15672681391096713,46,38,8
High (1.5-2.0),ssimulacra2,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.46653884587404904,0.001082477462500171,46,38,8
High (1.5-2.0),butteraugli,jpegli-420,jpegli-444,variance,-0.03257201221570817,0.7814594107981547,75,19,56
High (1.5-2.0),butteraugli,jpegli-420,jpegli-444,edge_density,0.26642182206227333,0.020862861842096007,75,19,56
High (1.5-2.0),butteraugli,jpegli-420,jpegli-444,chroma_complexity,-0.3664269259876491,0.0012236995940908453,75,19,56
High (1.5-2.0),butteraugli,jpegli-420,jpegli-444,uniform_block_fraction,-0.13197343049780597,0.25903621697899476,75,19,56
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-444,variance,0.11692430536817255,0.5613713320014442,27,19,8
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-444,edge_density,0.49446343623672495,0.008747308340951852,27,19,8
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-444,chroma_complexity,-0.6230625436473947,0.0005176809383526086,27,19,8
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.8149504275268957,2.2729921394201775e-07,27,19,8
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-420,variance,0.047322727324981766,0.8385922557029839,21,19,2
