z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
56,56,336,jpegli-420,51.78571428571429,174.0,5.0,64.0,1.0,51.78571428571429,1.488095238095238,19.047619047619047,0.2976190476190476,26.488095238095237,0.8928571428571428,51709.13392857143,55897.354166666664,50780.05952380953,58129.34821428572,53.27380952380953,46.726190476190474
57,57,336,jpegli-420,50.297619047619044,169.0,6.0,62.0,1.0,50.297619047619044,1.7857142857142856,18.452380952380953,0.2976190476190476,28.273809523809522,0.8928571428571428,53073.943452380954,57345.994047619046,52252.60119047619,59541.44642857143,52.08333333333333,47.916666666666664
58,58,336,jpegli-420,51.488095238095234,173.0,7.0,61.0,2.0,51.488095238095234,2.083333333333333,18.154761904761905,0.5952380952380952,26.190476190476193,1.488095238095238,54409.77380952381,58712.07142857143,53783.41369047619,61274.77976190476,53.57142857142857,46.42857142857143
59,59,336,jpegli-420,52.976190476190474,178.0,7.0,54.0,3.0,52.976190476190474,2.083333333333333,16.071428571428573,0.8928571428571428,26.785714285714285,1.1904761904761905,56242.0,60364.95238095238,55633.55059523809,63081.14880952381,55.05952380952381,44.94047619047619
60,60,336,jpegli-420,52.67857142857143,177.0,7.0,60.0,1.0,52.67857142857143,2.083333333333333,17.857142857142858,0.2976190476190476,25.892857142857146,1.1904761904761905,55173.40597014925,62006.25297619047,57218.0,64907.02380952381,54.761904761904766,45.23809523809524
61,61,336,jpegli-420,53.57142857142857,180.0,8.0,49.0,2.0,53.57142857142857,2.380952380952381,14.583333333333334,0.5952380952380952,27.380952380952383,1.488095238095238,56896.86268656716,63650.87797619047,59364.38690476191,67392.02678571429,55.95238095238095,44.04761904761905
62,62,336,jpegli-420,52.976190476190474,178.0,8.0,51.0,1.0,52.976190476190474,2.380952380952381,15.178571428571427,0.2976190476190476,27.67857142857143,1.488095238095238,58870.87462686567,65575.11309523809,61307.955357142855,69403.24107142857,55.357142857142854,44.642857142857146
63,63,336,jpegli-420,53.273809523809526,179.0,9.0,49.0,1.0,53.273809523809526,2.6785714285714284,14.583333333333334,0.2976190476190476,27.083333333333332,2.083333333333333,61089.60895522388,67528.46726190476,63556.67857142857,72012.625,55.952380952380956,44.04761904761905
64,64,336,jpegli-420,56.25,189.0,11.0,43.0,1.0,56.25,3.273809523809524,12.797619047619047,0.2976190476190476,26.190476190476193,1.1904761904761905,63036.211940298504,69757.57142857143,65726.08358208956,74538.74702380953,59.523809523809526,40.47619047619048
65,65,336,jpegli-420,53.57142857142857,180.0,11.0,39.0,1.0,53.57142857142857,3.273809523809524,11.607142857142858,0.2976190476190476,29.761904761904763,1.488095238095238,65498.66467065868,71981.36011904762,68640.41194029851,77376.53273809524,56.845238095238095,43.15476190476191
