z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
32,0.009943945565372807,336,mozjpeg-420,38.98809523809524,95,5,131,4,28.273809523809522,1.488095238095238,38.98809523809524,1.1904761904761905,28.273809523809522,1.7857142857142856,38761.12797619047,43245.880952380954,37747.208333333336,44592.03273809524,29.76190476190476,70.23809523809524
33,0.009689800912981323,336,mozjpeg-420,39.58333333333333,91,4,133,4,27.083333333333332,1.1904761904761905,39.58333333333333,1.1904761904761905,29.166666666666668,1.7857142857142856,39749.93452380953,44203.791666666664,38347.96726190476,45354.416666666664,28.273809523809522,71.72619047619048
34,0.009442151620395918,336,mozjpeg-420,38.392857142857146,92,4,129,4,27.380952380952383,1.1904761904761905,38.392857142857146,1.1904761904761905,30.059523809523807,1.7857142857142856,40415.107142857145,44639.80952380953,39054.5,46127.08630952381,28.571428571428573,71.42857142857143
35,0.009200831680979772,336,mozjpeg-420,40.476190476190474,89,4,136,4,26.488095238095237,1.1904761904761905,40.476190476190474,1.1904761904761905,29.166666666666668,1.488095238095238,41279.34523809524,45286.92857142857,39582.044642857145,46750.67559523809,27.678571428571427,72.32142857142857
36,0.008965679330848469,336,mozjpeg-420,41.36904761904761,82,4,139,3,24.404761904761905,1.1904761904761905,41.36904761904761,0.8928571428571428,30.654761904761905,1.488095238095238,41828.97023809524,46481.53869047619,39933.50892857143,48050.92261904762,25.595238095238095,74.4047619047619
37,0.008736536940434893,336,mozjpeg-420,39.285714285714285,85,5,132,3,25.297619047619047,1.488095238095238,39.285714285714285,0.8928571428571428,31.547619047619047,1.488095238095238,42560.44047619047,47290.229166666664,40603.306547619046,48537.380952380954,26.785714285714285,73.21428571428572
38,0.00851325090882547,336,mozjpeg-420,39.58333333333333,85,5,133,3,25.297619047619047,1.488095238095238,39.58333333333333,0.8928571428571428,31.25,1.488095238095238,43258.166666666664,47919.85119047619,41282.63690476191,49578.28273809524,26.785714285714285,73.21428571428572
39,0.008295671560796946,336,mozjpeg-420,40.773809523809526,77,5,137,3,22.916666666666664,1.488095238095238,40.773809523809526,0.8928571428571428,32.44047619047619,1.488095238095238,43907.880952380954,48705.556547619046,41947.94047619047,50332.52976190476,24.4047619047619,75.5952380952381
40,0.008083653046484651,336,mozjpeg-420,42.26190476190476,72,5,142,4,21.428571428571427,1.488095238095238,42.26190476190476,1.1904761904761905,32.142857142857146,1.488095238095238,45135.59226190476,49512.96130952381,42813.619047619046,51190.05357142857,22.916666666666664,77.08333333333334
41,0.007877053243615035,336,mozjpeg-420,42.55952380952381,75,5,143,4,22.321428571428573,1.488095238095238,42.55952380952381,1.1904761904761905,30.952380952380953,1.488095238095238,46084.37202380953,50250.59226190476,43470.9375,52231.3125,23.80952380952381,76.19047619047619
