z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
37,5.305209582121517,336,jpegli-420,37.5,126,39,90,7,37.5,11.607142857142858,26.785714285714285,2.083333333333333,19.345238095238095,2.6785714285714284,42849.45731707317,44630.06547619047,48738.78287461774,50445.380952380954,49.10714285714286,50.89285714285714
38,5.230878712423488,336,jpegli-420,38.392857142857146,129,39,82,5,38.392857142857146,11.607142857142858,24.404761904761905,1.488095238095238,21.13095238095238,2.976190476190476,42084.60429447853,45247.17261904762,47139.46319018405,51393.556547619046,50.0,49.99999999999999
39,5.157589286631594,336,jpegli-420,39.88095238095239,134,40,79,4,39.88095238095239,11.904761904761903,23.511904761904763,1.1904761904761905,19.642857142857142,3.869047619047619,42826.024539877304,46018.017857142855,48730.50153846154,52619.017857142855,51.78571428571429,48.214285714285715
40,5.085326713158058,336,jpegli-420,38.392857142857146,129,37,85,4,38.392857142857146,11.011904761904761,25.297619047619047,1.1904761904761905,21.726190476190478,2.380952380952381,43870.481595092024,47083.44940476191,49638.85538461539,53806.232142857145,49.404761904761905,50.595238095238095
41,5.014076604856682,336,jpegli-420,35.714285714285715,120,41,86,7,35.714285714285715,12.202380952380953,25.595238095238095,2.083333333333333,21.726190476190478,2.6785714285714284,44947.552147239265,47827.083333333336,50473.96,54650.34226190476,47.91666666666667,52.083333333333336
42,4.943824776158428,336,jpegli-420,34.523809523809526,116,50,85,5,34.523809523809526,14.880952380952381,25.297619047619047,1.488095238095238,21.428571428571427,2.380952380952381,45751.89846153846,48429.19047619047,51495.56923076923,55740.294642857145,49.404761904761905,50.59523809523809
43,4.874557240247139,336,jpegli-420,37.202380952380956,125,53,81,5,37.202380952380956,15.773809523809524,24.107142857142858,1.488095238095238,18.75,2.6785714285714284,46990.916923076926,49239.05059523809,50430.77708978328,57204.25297619047,52.97619047619048,47.023809523809526
44,4.8062602062748265,336,jpegli-420,39.58333333333333,133,51,76,6,39.58333333333333,15.178571428571427,22.61904761904762,1.7857142857142856,18.75,2.083333333333333,48897.10526315789,50042.020833333336,50181.40809968847,58536.32738095238,54.76190476190476,45.23809523809524
45,4.738920076615977,336,jpegli-420,43.154761904761905,145,52,68,3,43.154761904761905,15.476190476190476,20.238095238095237,0.8928571428571428,18.154761904761905,2.083333333333333,50146.52321981424,50549.39880952381,51926.171339563865,60280.58928571428,58.63095238095238,41.36904761904762
46,4.672523444160328,336,jpegli-420,43.452380952380956,146,53,71,5,43.452380952380956,15.773809523809524,21.13095238095238,1.488095238095238,16.36904761904762,1.7857142857142856,51387.59627329193,51357.27976190476,53171.30407523511,61875.857142857145,59.22619047619048,40.773809523809526
